time	  object	  objectClass	  area	 sum_ch1	  sum_ch2	  sum_ch3	  sum_chAll	 hist_ch1_0	  hist_ch1_1	  hist_ch1_2	  hist_ch1_3	 hist_ch1_4	  hist_ch1_5	  hist_ch1_6	  hist_ch1_7	 hist_ch1_8	  hist_ch1_9	  hist_ch1_10	  hist_ch1_11	 hist_ch1_12	  hist_ch1_13	  hist_ch1_14	  hist_ch1_15	 hist_ch2_0	  hist_ch2_1	  hist_ch2_2	  hist_ch2_3	 hist_ch2_4	  hist_ch2_5	 hist_ch2_6	  hist_ch2_7	 hist_ch2_8	  hist_ch2_9	  hist_ch2_10	  hist_ch2_11	 hist_ch2_12	  hist_ch2_13	  hist_ch2_14	  hist_ch2_15	 hist_ch3_0	  hist_ch3_1	  hist_ch3_2	  hist_ch3_3	 hist_ch3_4	  hist_ch3_5	  hist_ch3_6	  hist_ch3_7	 hist_ch3_8	  hist_ch3_9	  hist_ch3_10	  hist_ch3_11	 hist_ch3_12	  hist_ch3_13	  hist_ch3_14	  hist_ch3_15	 hist_chAll_0	  hist_chAll_1	  hist_chAll_2	 hist_chAll_3	  hist_chAll_4	  hist_chAll_5	 hist_chAll_6	  hist_chAll_7	  hist_chAll_8	 hist_chAll_9	  hist_chAll_10	  hist_chAll_11	 hist_chAll_12	  hist_chAll_13	  hist_chAll_14	 hist_chAll_15
(1416573578,544594000,0)	0	0	1044	74978	78613	87487	0	94957	51	116	112	482	218	25	16	6	6	5	5	1	0	0	0	94958	43	110	128	152	527	42	14	8	7	5	5	1	0	0	0	94956	3	90	146	78	495	176	24	10	8	4	6	4	0	0	0	94957	38	92	141	107	577	42	20	7	8	4	4	3	0	0	0
(1416573578,740719000,0)	0	0	1031	57627	61585	70039	0	95168	150	26	34	392	157	69	1	1	1	0	1	0	0	0	0	95096	203	39	16	245	331	67	0	2	0	1	0	0	0	0	0	95003	260	61	21	62	441	128	21	1	1	0	1	0	0	0	0	95076	220	42	15	233	314	94	3	1	1	0	1	0	0	0	0
(1416573578,881374000,0)	0	0	1044	76956	83021	91105	0	94956	0	84	108	443	391	18	0	0	0	0	0	0	0	0	0	94956	0	51	92	213	629	59	0	0	0	0	0	0	0	0	0	94956	0	0	113	121	546	261	3	0	0	0	0	0	0	0	0	94956	0	44	99	197	645	59	0	0	0	0	0	0	0	0	0
(1416573579,88336000,0)	0	0	1029	63172	68484	77203	0	95071	123	69	108	483	68	38	8	5	8	1	6	0	0	5	7	95047	135	59	65	455	153	42	9	7	5	5	2	4	0	3	9	95006	145	61	60	140	459	71	19	7	6	8	2	4	0	1	11	95030	146	65	64	456	147	44	13	7	5	5	2	4	0	2	10
(1416573579,320151000,0)	0	0	1044	81623	87448	96149	0	94956	0	0	6	641	393	4	0	0	0	0	0	0	0	0	0	94956	0	0	1	259	721	63	0	0	0	0	0	0	0	0	0	94956	0	0	1	12	798	231	2	0	0	0	0	0	0	0	0	94956	0	0	1	165	815	63	0	0	0	0	0	0	0	0	0
(1416573579,607693000,0)	0	0	1037	66852	72484	81047	0	94989	127	97	70	552	121	13	10	6	15	0	0	0	0	0	0	94990	109	97	44	297	420	11	9	9	14	0	0	0	0	0	0	94962	83	108	64	59	606	81	10	8	11	8	0	0	0	0	0	94978	120	94	48	296	415	16	10	6	17	0	0	0	0	0	0
(1416573579,783099000,0)	0	0	1035	58461	62956	71705	0	95110	183	43	37	402	168	57	0	0	0	0	0	0	0	0	0	95053	236	42	22	257	299	87	4	0	0	0	0	0	0	0	0	94992	262	59	25	41	440	146	35	0	0	0	0	0	0	0	0	95026	255	48	23	180	377	87	4	0	0	0	0	0	0	0	0
(1416573579,977152000,0)	0	0	1044	63208	69353	78891	0	94956	11	256	324	277	173	3	0	0	0	0	0	0	0	0	0	94956	4	162	287	326	254	11	0	0	0	0	0	0	0	0	0	94956	1	12	250	336	368	76	1	0	0	0	0	0	0	0	0	94956	4	111	302	362	254	11	0	0	0	0	0	0	0	0	0
(1416573580,190822000,0)	0	0	1032	65302	69987	78845	0	95020	151	66	113	494	82	29	17	4	3	3	0	2	6	2	8	95010	149	65	75	457	160	36	15	8	3	4	0	2	6	1	9	94983	146	65	65	126	479	79	16	15	2	3	3	0	5	4	9	95000	156	65	73	443	173	40	16	9	3	4	0	1	6	2	9
(1416573580,461055000,0)	0	0	1044	77276	83331	92658	0	94956	0	6	103	667	264	4	0	0	0	0	0	0	0	0	0	94956	0	1	23	409	597	14	0	0	0	0	0	0	0	0	0	94956	0	0	9	93	842	99	1	0	0	0	0	0	0	0	0	94956	0	1	16	396	617	14	0	0	0	0	0	0	0	0	0
(1416573580,630914000,0)	0	0	1043	58853	65150	74688	0	94963	173	133	201	418	111	1	0	0	0	0	0	0	0	0	0	94961	136	141	172	293	289	8	0	0	0	0	0	0	0	0	0	94957	6	184	140	260	424	29	0	0	0	0	0	0	0	0	0	94961	132	128	163	319	289	8	0	0	0	0	0	0	0	0	0
(1416573580,919830000,0)	0	0	1044	77959	83797	92796	0	94956	0	0	75	690	268	6	3	2	0	0	0	0	0	0	0	94956	0	0	12	467	549	11	1	4	0	0	0	0	0	0	0	94956	0	0	6	88	814	129	3	3	1	0	0	0	0	0	0	94956	0	0	12	443	573	11	1	4	0	0	0	0	0	0	0
(1416573581,82815000,0)	0	0	1044	77959	83797	92796	0	94956	0	0	75	690	268	6	3	2	0	0	0	0	0	0	0	94956	0	0	12	467	549	11	1	4	0	0	0	0	0	0	0	94956	0	0	6	88	814	129	3	3	1	0	0	0	0	0	0	94956	0	0	12	443	573	11	1	4	0	0	0	0	0	0	0
(1416573581,339454000,0)	0	0	1044	64104	68538	78448	0	95030	123	48	191	430	124	27	12	10	1	0	1	1	0	1	1	95029	101	68	119	365	254	34	13	5	8	0	0	1	1	1	1	94956	145	75	42	192	443	98	22	12	9	2	0	0	2	0	2	94988	139	66	100	339	301	36	14	5	8	0	0	1	1	1	1
(1416573581,477582000,0)	0	0	1028	57509	63190	71837	0	95172	112	37	88	406	113	51	10	2	2	2	0	2	1	1	1	95072	195	45	31	358	215	62	12	1	2	2	0	3	0	1	1	95021	209	67	24	70	463	112	18	7	1	1	2	1	2	0	2	95071	191	50	23	374	193	76	10	3	2	1	1	2	1	1	1
